customer_unique_id,favorite_category,avg_order_value,risk,sentiment,offer_type,risk_level,discount_pct,message
0000366f3b9a7992bf8c76cfdf3221e2,bed_bath_table,141.9,0.35826546,positive,targeted_reco,medium,8,"Думаем вам понравится новое в «bed_bath_table», плюс 8% на заказ."
0000b849f77a49e4a4ce2b2a4ca5be3f,health_beauty,27.19,0.15778175,,loyalty,low,0,Рекомендуем новинки в «health_beauty».
0000f46a3911fa3c0805444483337064,stationery,86.22,0.21044782,,loyalty,low,0,Рекомендуем новинки в «stationery».
0000f6ccb0745a6a4b88665a16c9f078,telephony,43.62,0.4677134,positive,targeted_reco,medium,8,"Думаем вам понравится новое в «telephony», плюс 8% на заказ."
0004aac84e0df4da2b147fca70cf8255,telephony,196.89,0.44674698,,targeted_reco,medium,8,"Думаем вам понравится новое в «telephony», плюс 8% на заказ."
0004bd2a26a76fe21f786e4fbd80607f,garden_tools,166.98,0.19092184,,loyalty,low,0,Рекомендуем новинки в «garden_tools».
00050ab1314c0e55a6ca13cf7181fecf,telephony,35.379999999999995,0.41660163,,targeted_reco,medium,8,"Думаем вам понравится новое в «telephony», плюс 8% на заказ."
00053a61a98854899e70ed204dd4bafe,sports_leisure,419.18,0.61168796,negative,retention_apology,high,30,Извините за неприятный опыт. Дарим 30% на «sports_leisure» и приоритетную поддержку.
0005e1862207bf6ccc02e4228effd9a0,fashion_bags_accessories,150.12,0.25763687,,loyalty,low,0,Рекомендуем новинки в «fashion_bags_accessories».
0005ef4cd20d2893f0d9fbd94d3c0d97,sports_leisure,129.76,0.98417145,negative,retention_apology,high,25,Извините за неприятный опыт. Дарим 25% на «sports_leisure» и приоритетную поддержку.
0006fdc98a402fceb4eb0ee528f6a8d4,bed_bath_table,29.0,0.3176537,neutral,loyalty,low,0,Рекомендуем новинки в «bed_bath_table».
00082cbe03e478190aadbea78542e933,luggage_accessories,126.26,0.18549658,,loyalty,low,0,Рекомендуем новинки в «luggage_accessories».
00090324bbad0e9342388303bb71ba0a,bed_bath_table,63.66,0.44078374,positive,targeted_reco,medium,8,"Думаем вам понравится новое в «bed_bath_table», плюс 8% на заказ."
000949456b182f53c18b68d6babc79c1,computers_accessories,82.05,0.2764673,,loyalty,low,0,Рекомендуем новинки в «computers_accessories».
000a5ad9c4601d2bbdd9ed765d5213b3,health_beauty,91.28,0.21820404,,loyalty,low,0,Рекомендуем новинки в «health_beauty».
000bfa1d2f1a41876493be685390d6d3,fashion_bags_accessories,46.85,0.16788259,neutral,loyalty,low,0,Рекомендуем новинки в «fashion_bags_accessories».
000c8bdb58a29e7115cfc257230fb21b,bed_bath_table,29.0,0.3907086,neutral,targeted_reco,medium,8,"Думаем вам понравится новое в «bed_bath_table», плюс 8% на заказ."
000d460961d6dbfa3ec6c9f5805769e1,telephony,36.68,0.36894104,,targeted_reco,medium,8,"Думаем вам понравится новое в «telephony», плюс 8% на заказ."
000de6019bb59f34c099a907c151d855,bed_bath_table,257.44,0.46259862,negative,targeted_reco,medium,18,"Думаем вам понравится новое в «bed_bath_table», плюс 18% на заказ."
000e309254ab1fc5ba99dd469d36bdb4,fashion_underwear_beach,78.42,0.28777623,,loyalty,low,0,Рекомендуем новинки в «fashion_underwear_beach».
000ec5bff359e1c0ad76a81a45cb598f,home_appliances,27.75,0.19954993,positive,loyalty_upsell,low,0,Спасибо что вы с нами! Новинки в «home_appliances» и программа лояльности.
000ed48ceeb6f4bf8ad021a10a3c7b43,computers_accessories,20.75,0.3031428,,loyalty,low,0,Рекомендуем новинки в «computers_accessories».
000fbf0473c10fc1ab6f8d2d286ce20c,musical_instruments,362.36,0.80999064,,retention_soft,high,20,Скучаем по вам! Возвращайтесь - 20% на «musical_instruments».
0010a452c6d13139e50b57f19f52e04e,home_confort,325.93,0.48489317,neutral,targeted_reco,medium,13,"Думаем вам понравится новое в «home_confort», плюс 13% на заказ."
0010fb34b966d44409382af9e8fd5b77,bed_bath_table,61.8,0.86289114,,retention_soft,high,15,Скучаем по вам! Возвращайтесь - 15% на «bed_bath_table».
001147e649a7b1afd577e873841632dd,housewares,212.16,0.6220853,,retention_soft,high,15,Скучаем по вам! Возвращайтесь - 15% на «housewares».
00115fc7123b5310cf6d3a3aa932699e,sports_leisure,76.11,0.28997177,,loyalty,low,0,Рекомендуем новинки в «sports_leisure».
0011805441c0d1b68b48002f1d005526,computers_accessories,297.14,0.23148209,,loyalty,low,0,Рекомендуем новинки в «computers_accessories».
0011857aff0e5871ce5eb429f21cdaf5,luggage_accessories,192.83,0.15085316,positive,loyalty_upsell,low,0,Спасибо что вы с нами! Новинки в «luggage_accessories» и программа лояльности.
0011c98589159d6149979563c504cb21,small_appliances,117.94,0.3325605,positive,loyalty_upsell,low,0,Спасибо что вы с нами! Новинки в «small_appliances» и программа лояльности.
0012929d977a8d7280bb277c1e5f589d,watches_gifts,155.65,0.30789438,,loyalty,low,0,Рекомендуем новинки в «watches_gifts».
0014a5a58da615f7b01a4f5e194bf5ea,health_beauty,99.82,0.30716443,,loyalty,low,0,Рекомендуем новинки в «health_beauty».
0015752e079902b12cd00b9b7596276b,luggage_accessories,74.82,0.22086318,,loyalty,low,0,Рекомендуем новинки в «luggage_accessories».
00172711b30d52eea8b313a7f2cced02,stationery,61.035,0.8866811,positive,retention_soft,high,15,Скучаем по вам! Возвращайтесь - 15% на «stationery».
00191a9719ef48ebb5860b130347bf33,bed_bath_table,58.86,0.47752064,,targeted_reco,medium,8,"Думаем вам понравится новое в «bed_bath_table», плюс 8% на заказ."
001926cef41060fae572e2e7b30bd2a4,computers_accessories,91.21,0.83000505,,retention_soft,high,15,Скучаем по вам! Возвращайтесь - 15% на «computers_accessories».
001928b561575b2821c92254a2327d06,bed_bath_table,164.81,0.7909339,negative,retention_apology,high,25,Извините за неприятный опыт. Дарим 25% на «bed_bath_table» и приоритетную поддержку.
00196c4c9a3af7dd2ad10eade69c926f,computers_accessories,37.58,0.35421252,,targeted_reco,medium,8,"Думаем вам понравится новое в «computers_accessories», плюс 8% на заказ."
00196fdb2bf9edfc35e88ebfbcf8d781,electronics,27.0,0.7579747,,retention_soft,high,15,Скучаем по вам! Возвращайтесь - 15% на «electronics».
